Rk,G,Date,Age,Tm,Loc,Opp,Margin,GS,MP,FG,FGA,FGperc,ThreeP,ThreePA,ThreePperc,FT,FTA,FTperc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
32,32,2012-02-21,27-053,MIA,,SAC,W (+12),1,33:13,7,11,.636,2,2,1.000,2,2,1.000,0,4,4,8,0,2,3,1,18,17.9,+7
33,33,2012-02-23,27-055,MIA,,NYK,W (+14),1,40:41,7,16,.438,0,0,,6,6,1.000,1,8,9,8,5,2,4,3,20,21.5,+12
34,34,2012-03-01,27-062,MIA,@,POR,W (+14),1,41:02,13,22,.591,2,2,1.000,10,12,.833,2,9,11,6,5,1,0,1,38,40.6,+8
35,35,2012-03-02,27-063,MIA,@,UTA,L (-1),1,44:24,16,24,.667,1,4,.250,2,3,.667,1,9,10,6,0,3,0,2,35,33.1,+7
36,36,2012-03-04,27-065,MIA,@,LAL,L (-10),1,43:02,12,26,.462,0,4,.000,1,3,.333,7,6,13,7,3,2,3,1,25,23.4,-13
37,37,2012-03-06,27-067,MIA,,NJN,W (+30),1,29:36,9,11,.818,1,1,1.000,2,2,1.000,1,8,9,6,0,0,5,0,21,19.2,+20
38,38,2012-03-07,27-068,MIA,,ATL,W (+3),1,41:40,12,20,.600,0,3,.000,7,10,.700,4,7,11,2,1,2,2,1,31,26.9,+7
39,39,2012-03-10,27-071,MIA,,IND,W (+2),1,47:06,8,19,.421,2,3,.667,9,15,.600,1,7,8,4,4,1,4,1,27,20.4,+3
40,40,2012-03-13,27-074,MIA,@,ORL,L (-6),1,42:25,7,20,.350,2,4,.500,3,3,1.000,3,8,11,8,1,1,6,0,19,13.6,0
41,41,2012-03-14,27-075,MIA,@,CHI,L (-4),1,39:38,14,25,.560,2,3,.667,5,5,1.000,1,4,5,4,4,0,2,2,35,29.0,+5
42,42,2012-03-16,27-077,MIA,@,PHI,W (+6),1,38:15,12,20,.600,0,2,.000,5,8,.625,2,5,7,8,2,2,1,0,29,29.5,+10
43,43,2012-03-18,27-079,MIA,,ORL,W (+10),1,38:58,4,14,.286,0,1,.000,6,8,.750,0,12,12,7,5,0,4,4,14,12.9,+13
44,44,2012-03-20,27-081,MIA,,PHO,W (+4),1,37:54,8,18,.444,0,3,.000,4,6,.667,1,7,8,6,2,2,3,2,20,16.4,+15
45,45,2012-03-23,27-084,MIA,@,DET,W (+15),1,37:26,6,15,.400,0,3,.000,5,5,1.000,0,6,6,10,4,1,5,0,17,17.4,+8
46,46,2012-03-25,27-086,MIA,@,OKC,L (-16),1,39:36,8,18,.444,0,3,.000,1,1,1.000,0,3,3,7,2,0,4,2,17,10.6,-10
